,상호명,지점명,대분류,중분류,소분류,시도명,시군구명,행정동명,법정동명,지번주소,경도,위도
51566,세븐일레븐,사당남사점,소매,종합소매점,편의점,서울특별시,동작구,사당1동,사당동,서울특별시 동작구 사당동 1015-50,126.978036996538,37.481925346690105
51591,위드미방화역점,방화역점,소매,종합소매점,편의점,서울특별시,강서구,방화3동,방화동,서울특별시 강서구 방화동 830-1,126.81298530905501,37.577342630705296
51742,CU,목동동로점,소매,종합소매점,편의점,서울특별시,양천구,신정6동,신정동,서울특별시 양천구 신정동 318-5,126.86912759314899,37.521849437734105
51786,위드미상봉역점,상봉역점,소매,종합소매점,편의점,서울특별시,중랑구,상봉1동,상봉동,서울특별시 중랑구 상봉동 314-18,127.085372218703,37.5977793552434
51797,코리아세븐도봉,창2동점,소매,종합소매점,편의점,서울특별시,도봉구,창2동,창동,서울특별시 도봉구 창동 608-120,127.038529855219,37.645639590423606
51905,GS25,봉천낙성점,소매,종합소매점,편의점,서울특별시,관악구,행운동,봉천동,서울특별시 관악구 봉천동 1685-1,126.96158738111001,37.478529112400295
52047,세븐일레븐,역삼특허점,소매,종합소매점,편의점,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 827-67,127.03228829924299,37.4958619677342
52076,세븐일레븐,신림라이프점,소매,종합소매점,편의점,서울특별시,관악구,미성동,신림동,서울특별시 관악구 신림동 746-1,126.913325010028,37.4766894441942
52195,CU,역삼본점,소매,종합소매점,편의점,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼동 601-11,127.02570185258301,37.5040524811536
52208,C.U내,,소매,종합소매점,편의점,서울특별시,강동구,암사2동,암사동,서울특별시 강동구 암사동 503-23,127.127710170513,37.551542590535604
52422,CU,강서중앙점,소매,종합소매점,편의점,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 화곡동 1105,126.850211091987,37.552905702021
